Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
Ainu applicatives in typological perspective,"Bugaeva, Anna",article,,,,,,4,Studies in Language,,749-801,,427,,,34,2010,
Symmetrical objects in Misantla Totonac,"MacKay, Carolyn Joyce & Frank R. Trechsel",article,,,,,"MacKay, Carolyn J. & Frank R. Trechsel. 2008. Symmetrical objects in Misantla Totonac. International Journal of American Linguistics, 74 (2): 227-255.",2,International Journal of American Linguistics,,227-255,,428,,,74,2008,
Object asymmetries in comparative Bantu syntax,"Bresnan, Joan & Lioba Moshi",article,,,,,"Bresnan, Joan, and Lioba Moshi. 1990. Object asymmetries in comparative Bantu syntax. Linguistic Inquiry 21:147–85.
[Reprinted in: Sam A. Mchombo (ed.). Theoretical Aspects of Bantu Grammar. Stanford: CSLI Publications. pp. 47-91.]",2,Linguistic Inquiry,,147-185,,429,,,21,1990,
Passive types and the theory of object asymmetries,"Alsina, Alex",article,,,,,"Alsina, Alex. 1996. Passive types and the theory of object asymmetries. Natural Language and Linguistic Theory, 14: 673-723.",,Natural Language and Linguistic Theory,,673-723,,430,,,14,1996,
Object asymmetries and the Chichewa applicative construction,"Alsina, Alex & Sam A. Mchombo",incollection,Theoretical Aspects of Bantu Grammar,,Stanford,Sam A. Mchombo,"Alsina, Alex & Sam A. Mchombo. 1993. Object asymmetries and the Chichewa applicative construction. in: Sam A. Mchombo (ed.). Theoretical Aspects of Bantu Grammar. Stanford: CSLI Publications. pp. 17-45.",,,,17-45,CSLI Publications,431,,,,1993,
Bajau: a symmetrical Austronesian language,"Donohue, Mark",article,,,,,"Donohue, Mark. 1996. Bajau: a symmetrical Austronesian language. Language 72 (4): 782-793.",4,Language,,782-793,,432,,,72,1996,
Object asymmetries in Kitharaka,"Harford, Carolyn",inproceedings,"Proceedings of the Seventeenth Annual Meeting of the Berkeley Linguistics Society: Special Session on African Language
Structures",,Berkeley,,"Harford, Carolyn. 1991. Object asymmetries in Kitharaka. Proceedings of the 17th Annual Meeting of the Berkeley Linguistics Society: Special Session on African Language Structures. Berkeley: University of California. pp. 98-105.",,,,98-105,Berkeley Linguistics Society,433,University of California,,,1991,
Double object constructions in Chichewa and Gitonga: a comparative analysis,"Mchombo, Sam A. & Gregório Firmino",article,,,,,"Mchombo, Sam A. & Gregório Firmino. 1999. Double object constructions in Chichewa and Gitonga: a comparative analysis. Linguistic Analysis, 29 (1-2): 214-233.",12,Linguistic Analysis,,214-233,,434,,,29,1999,
Symmetric and asymmetric passives,"Woolford, Ellen",article,,,,,"Woolford, Ellen. 1993. Symmetric and asymmetric passives. Natural Language and Linguistic Theory, 11.4: 679-728.",4,Natural Language and Linguistic Theory,,679-728,,435,,,11,1993,
The Yoruba ni-Object Construction in Pragmatic Perspective,"Madugu, Isaac S. George",article,,,,,"Madugu, Isaac S. George. 1982. The Yoruba ni-Object Construction in Pragmatic Perspective. Journal of African Languages and Linguistics, 4 (1): pp. 43-58.",1,Journal of African Languages and Linguistics,ch03madugu1982,43-58,,436,,,4,1982,
,"Meira, Sérgio",phdthesis,A Grammar of Tiriyó,,Ann Arbor,,,,,,,UMI,437,Rice University,,,1999,
Ditransitive Constructions in Jóola Banjal,"Bassène, Alain-Christian",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,190 - 203,Mouton de Gruyter,438,,,,2010,
,"Graczyk, Randolph",book,A Grammar of Crow - Apsáalooke Aliláau,,Lincoln,,,,,,,University of Nebraska Press,439,,,,2007,
,"O'Connor, Mary Catherine",book,Topics in Northern Pomo grammar,,New York,,,,,,,Garland,440,,,,19921987,
,"MacKay, Carolyn Joyce",phdthesis,A Grammar of Misantla Totonac,,Austin,,,,,,,University of Texas,441,University of Texas at Austin,,,1991,
,"Klamer, Marian",book,A Grammar of Kambera,,Berlin,,"Klamer, Marian. 1998. A Grammar of Kambera. Mouton Grammar Library, 18. Berlin: Mouton de Gruyter.",,,,,Mouton de Gruyter,442,,,,1998,
Ditransitivity in Hupa (Athabaskan),"Campbell, Amy",incollection,Studies in ditransitive constructions,20,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,,Mouton de Gruyter,443,,,,2010,
,"van Gijn, Rik",phdthesis,A Grammar of Yurakaré,,Nijmegen,,,,,,,,444,Radboud University Nijmegen,,,2006,
Ditransitive Constructions in the Neo-Aramaic dialect of Telkepe,"Coghill, Eleanor",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,ch001coghillTV,221 - 242,Mouton de Gruyter,445,,,,2010,
Ditransitives in Mian,"Fedden, Sebastian",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,456 - 485,Mouton de Gruyter,446,,,,2010,
Ditransitive Constructions in Tima,"Dimmendaal, Gerrit J.",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,204 - 220,Mouton de Gruyter,448,,,,2010,
,"Gordon, Lynn",book,Maricopa Morphology and Syntax,,Berkeley,,"Gordon, Lynn. 1986. Maricopa Morphology and Syntax. University of California Publications in Linguistics, 108. Berkeley: University of California Press.",,,,,University of California Press,449,,,,1986,
Ditransitive Constructions in Teiwa,"Klamer, Marian",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,427 - 455,Mouton de Gruyter,452,,,,2010,
,"Day, Christopher",book,The Jacaltec Language,,Bloomington,,,,,,,Indiana University Publications,453,,,,1973,
,"Grinevald Craig, Colette",book,The Structure of Jacaltec,,Austin,,,,,,,University of Texas Press,454,,,,1977,
Ditransitive Constructions in Ket,"Nefedov, Andrey & Andrej Malchukov & Edward Vajda",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,,Mouton de Gruyter,455,,,,2010,
,"Cromack, Robert Earl",phdthesis,Language Systems and Discourse Structure in Cashinawa,,Hartford,,,,,,,,458,,,,1968,
Ditransitive Constructions in Baule,"Creissels, Denis & Jérémie Kouadio",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,ch001creisselskouadioTV,,Mouton de Gruyter,459,,,,2010,
Ditransitives in Itonama,"Crevels, Mily",incollection,Studies in Ditransitive Constructions,23,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,,Mouton de Gruyter,460,,,,2010,
"Ditransitive Constructions in East Caucasian
A family overview","Daniel, Michael & Zaira Khalilova & Zarina Molochieva",incollection,Studies in Ditransitive Constructions,9,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,,Mouton de Gruyter,461,,,,2010,
Ditransitive Constructions in Halkomelem Salish: A direct object/oblique object language,"Gerdts, Donna B.",incollection,Studies in Ditransitive Constructions,19,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,ch001gerdtsTV,,Mouton de Gruyter,462,,,,2010,
Ditransitive Constructions in Tungusic languages,"Malchukov, Andrej & Igor Nedjalkov",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,316-351,Mouton de Gruyter,464,,,,2010,
Ditransitives in Central Alaskan Yupik,"Miyaoka, Osahito",incollection,Studies in Ditransitive Constructions,18,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,ch18miyaoka2010,529 - 562,Mouton de Gruyter,465,,,,2010,
Ditransitive Constructions and their alternatives in Teop,"Mosel, Ulrike",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,486-509,Mouton de Gruyter,466,,,,2010,
Ditransitive Constructions in Ojibwe,"Rhodes, Richard Alan",incollection,Studies in Ditransitive Constructions,21,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,,Mouton de Gruyter,467,,,,2010,
Ditransitive Constructions in Tlapanec,"Wichmann, Søren",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,,Mouton de Gruyter,468,,,,2010,
Ditransitives and three-argument verbs in Chintang and Belhare (Southeastern Kiranti),"Bickel, Balthasar & Manoj Rai & Netra P. Paudyal & Goma Banjade & Toya N. Bhatta & Martin Gaenszle & Elena Lieven & Ichchha Purna Rai & Novel Kishore Rai & Sabine Stoll",incollection,Studies in Ditransitive Constructions: A Comparative Handbook,,,,,,,,382-408,,469,,,,2010,
,Ashton,,,,,,,,,,,,470,,,,1944,
L’alternance ditransitive en zarma,"Abdoulaye, Mahamane L.",misc,,,Niamey,,,,Annales de l'Université Abdou Moumouni de Niamey,,33-42,Abdou Moumonoi University,473,,http://hal.archives-ouvertes.fr/hal-00268179/en/,10,2009,
The Teop sketch grammar,"Mosel, Ulrike & Yvonne Thiesen",,,,,,,,,,,,475,,www.mpi.nl/dobes/projects/teop,,2007,
Ambiguity and case marking in Donno Sɔ (Dogon),"Culy, Christopher",incollection,Theoretical approaches to African linguistics,,"Trenton, NJ","Akinlabi, Akinbiyi",,,,,47-58,Africa World Press,476,University of Iowa,,,1995,
A Functional Explanation for the ní-NP Construction in Yorùbá,"Yusuf, Ọrẹ",article,,,,,,,Studies in African Linguistics,ch03yusuf1985,329-334,,477,,,Supplement 9,1985,
The Particle lí̃ in Yoruba,"Awobuluyi, A. Oladele",article,,,,,,2,Journal of West African Languages,ch03awobuluyi1969,67-77,,479,,,6,1969,
Grammatical properties and classification of three-participant predicates in Jaminjung,"Schultze-Berndt, Eva Friederike",incollection,Studies in Ditransitive Constructions,,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,510-528,De Gruyter Mouton,480,,,,2010,
,"Golluscio, Lucía A.",,,,,,,,,,,,481,,,,2008,
The Object Relation in Akan,"Osam, E. Kweku",article,,,,,,,Afrika und Übersee,,57-83,,482,,,79,1996,
Greek Ditransitive Structures: Evidence against 'Dative Shift',"Efstathopoulou, Pagona-Niki",incollection,Studies in the Morpho-Syntax of Greek,,Newcastle,"Alexiadou, Artemis",,,,,47-70,Cambridge Scholars,483,,,,2007,
Verbal Alternations in Akan,"Osam, E. Kweku",article,,,,,,1,Journal of African Languages and Linguistics (JALL),,49-70,,484,,,29,2008,
Russian Double Object Constructions,"Dyakonova, Marina",article,,,,,,1,ACLC (Amsterdam Center for Language and Communication) Working Papers,,3-30,,485,,http://www.hum.uva.nl/ACLC/object.cfm/objectid=57CACF99-82E3-4F3D-879EF26EB922057E/download=true,2,2007,
The English dative alternation: The case for verb sensitivity,"Rappaport Hovav, Malka & Beth Levin",article,,,,,,1,Journal of Linguistics,,129–167,,486,,,44,2008,
"Reduktionsformen und Kasussynkretismus
bei deutschen und niederländischen Pronomina","Abraham, Werner & Anko Wiegel",article,,,,,,1,Groninger Arbeiten zur Germanistischen Linguistik (GAGL),,1-36,,487,,,35,1992,
El complemento directo en griego antiguo,"Riaño Rufilanchas, Daniel",misc,,,Madrid,,,,,,,"Consejo Superior de Investigaciones Científicas, Inst. de Filología",488,,,,2006,
personal communication,"Riaño Rufilanchas, Daniel",,,,,,,,,,,,489,,,,2009,
The semantics of giving,"Dixon, Robert M. W.",incollection,Where have all the adjectives gone? And other essays in semantics and syntax,,Berlin,"Dixon, Robert M. W.",,,,,117-139,Mouton de Gruyter,490,,,,1982,
,"Khalilova, Zaira",phdthesis,Grammar of Khwarshi,,,,,,,,,,491,,,,2009,
Ditransitive idioms and argument structure,"Kishimoto, Hideki",article,,,,,,2,Journal of East Asian Linguistics,,141–179,,492,,,17,2008,
Learning Verbs without Boots and Straps? The Problem of ‘Give' in Saliba,"Margetts, Anna",incollection,Cross-linguistic perspectives on argument structure: implications for learnability,,New Jersey,"Bowerman, Melissa & Penelope Brown",,,,,111-137,Erlbaum,493,,,,2007,a
Three-participant Events in Oceanic Languages,"Margetts, Anna",article,,,,,,1,Oceanic Linguistics,,71-127,,494,,,46,2007,b
,"Lu, Bingfu",,,,,,,,,,,,495,,,,2009,
The syntax of three-argument verbs in Nepali,"Paudyal, Netra Prasad",misc,,,,,,,,,,,496,,,,2009,
"The Verb GIVE and the Double-object Construction in Cantonese in Synchronic, Diachronic and Typological Persptectives","Chin, Andy Chi-On",phdthesis,,,Seattle,,,,,,,,497,University of Washington,,,2009,
Introduction,"Dixon, Robert M. W. & Alexandra Y. Aikhenvald",incollection,Changing Valency: Case Studies in Transitivity,,Cambridge,"Dixon, Robert M. W. & Alexandra Y. Aikhenvald",,,,,,Cambridge University Press,498,,,,2000,
,"Harris, Alice C.",book,Georgian Syntax. A study in relational grammar,,Cambridge,,,,,,,Cambridge University Press,500,,,33,2009,
Yaqui Relative Clauses,"Guerrero, Lilián",inproceedings,Proceedings from the Eighth Workshop on American Indigenous Languages,,,Lea Harper and Carmen Jany,,,,,,,501,Universidad de Sonora,http://www.linguistics.ucsb.edu/research/Guerrero_vol16.pdf,16,2005,
The semantic range of the Dutch double object construction,"Colleman, Timothy & Bernard de Clerck",,,,,,"Colleman, Timothy & Bernard de Clerck. 2009. The semantic range of the Dutch double object construction. Cognitive Linguistics 20 (2): 190-221.",2,Cognitive Linguistics,,190-221,,502,,,20,2009,
Double object constructions in Mauritian Creole and their distribution in creole languages: a convergent solution,"Syea, Anand",article,Language contact and language shift: grammatical and sociolinguistic perspectives,,Munich,,"Syea, Anand. 2011. Double object constructions in Maurtian Creole and their distribution in creole languages: a convergent solution. in: Language contact and language shift: grammatical and sociolinguistic perspectives. Munich: Lincom Europa.",,,,,Lincom Europa,505,,,,2011,
,"Foley, William A.",book,The Yimas Language of New Guinea,,Stanford,,"Foley, William A. 1991. The Yimas Language of New Guinea. Stanford: Stanford University Press.",,,ch15foley1991,,Stanford University Press,506,,,,1991,
,"Frajzyngier, Zygmunt",,A Grammar of Pero,,Berlin,,"Frajzyngier, Zygmunt. 1989. A Grammar of Pero. Berlin. Dietrich Reimer.",,,,,Dietrich Reimer,507,,,,1989,
,"Haspelmath, Martin",book,A Grammar of Lezgian,,Berlin,,"Haspelmath, Martin. 1993. A Grammar of Lezgian. Mouton Grammar Library, 9. Berlin. Mouton de Gruyter.",,,ch09haspelmath1993,,Mouton de Gruyter,508,,,,1993,
,"Moyse-Faurie, Claire",,"Le drehu, langue de Lifou (Iles Loyauté)",,Paris,,"Moyse-Faurie, Claire. 1983. Le drehu, langue de Lifou (Iles Loyauté). Paris. SELAF.",,,,,SELAF,509,,,,1983,
,"van Eijk, Jan",,"The Lillooet language: phonology, morphology, syntax",,Vancouver,,"van Eijk, Jan. 1997. The Lillooet language: phonology, morphology, syntax. Vancouver: University of British Columbia.",,,,,University of British Columbia,511,,,,1997,
,"Cain, Bruce D. & James W. Gair",,Dhivehi (Maldivian),,Munich,,"Cain, Bruce D. & James W. Gair. 2000. Dhivehi (Maldivian). Munich. Lincom.",,,,,Lincom Europa,512,,,,2000,
,"Ebert, Karen Heide",,"Sprache und Tradition der Kera (Tschad), Teil III: Grammatik",,Berlin,,"Ebert, Karen. 1979. Sprache und Tradition der Kera (Tschad), Teil III: Grammatik. Berlin: Dietrich Reimer.",,,,,Dietrich Reimer,513,,,,1979,
,"Leavitt, Robert M.",book,Passamaquoddy-Maliseet,,Munich,,"Leavitt, Robert M. 1996. Passamaquoddy-Maliseet. Languages of the World/Materials 27. Munich. Lincom Europa.",,,,,Lincom Europa,514,,,,1996,
Tetelcingo Nahuatl,"Tuggy, David H.",,Modern Aztec Grammatical Sketches,,Arlington,"Langacker, Ronald W.","Tuggy, David H. 1979. Tetelcingo Nahuatl. in: Langacker, Ronald W. (ed.). Modern Aztec Grammatical Sketches. Arlington. Summer Institute of Linguistics. pp. 1-140.",,,,1-140,Summer Institute of Linguistics,515,,,,1979,
Macushi,"Abbott, Miriam",,"Handbook of Amazonian Languages,  3",,Berlin,"Derbyshire, Desmond C. & Geoffrey Pullum","Abbott, Miriam. 1991. Macushi. in: Derbyshire, Desmond C. & Geoffrey Pullum (eds.). Handbook of Amazonian Languages, 3. Berlin: Mouton de Gruyter. pp. 23-160.",,,,23-160,Mouton de Gruyter,516,,,,1991,
,"Abdel-Hafiz, Ahmed Sokarno",phdthesis,A Reference Grammar of Kunuz Nubian,,Buffalo,,"Abdel-Hafiz, Ahmed Sokarno. 1988. A Reference Grammar of Kunuz Nubian. Buffalo. State University of New York. [phd diss.]",,,,,State University of New York,517,,,,1988,
,"Aikhenvald, Alexandra Y.",,Bare,,Munich,,"Aikhenvald, Alexandra Y. 1995. Bare. Languages of the World / Materials 100. Munich: Lincom Europa.",,,,,Lincom Europa,518,,,,1995,
,"Alpher, Barry J.",,Yir-Yoront Lexicon: Sketch and Dictionary of an Australian Language,,Berlin,,"Alpher, Barry J. 1991. Yir-Yoront Lexicon: Sketch and Dictionary of an Australian Language. Berlin: Mouton de Gruyter.",,,,,Mouton de Gruyter,519,,,,1991,
,"Amborn, Hermann & Gunter Minker & Hans-Jürgen Sasse",,Das Dullay: Materialien zu einer ostkuschitischen Sprachgruppe,,Berlin,,"Amborn, Hermann & Gunter Minker & Hans-Jürgen Sasse. 1980. Das Dullay: Materialien zu einer ostkuschitischen Sprachgruppe. Berlin: Dietrich Reimer.",,,,,Dietrich Reimer,520,,,,1980,
,"Amha, Azeb",,The Maale Language,,Leiden,,"Amha, Azeb. 2001. The Maale Language. CNWS Publications 99. Leiden. Research School of Asian, African and Amerindian Studies. University of Leiden.",,,,,University of Leiden,521,,,,2001,
Absolutive and Nominative in Berta,"Andersen, Torben",,"Actes du Cinquième Colloque de Linguistique Nilo-Saharienne, Nice 1992",,Köln,"Nicolai, Robert & Franz Rottland","Andersen, Torben. 1995. Absolutive and Nominative in Berta. in: Nicolai, Robert & Franz Rottland (eds.). Actes du Cinquième Colloque de Linguistique Nilo-Saharienne, Nice 1992. Köln: Rüdiger Köppe. pp. 39-69.",,,,39-69,Köppe,522,,,,1995,
